449 , ст , 7173707 , 1
475 , то , 6718190 , 2
335 , но , 6436135 , 3
323 , на , 5928622 , 4
388 , по , 5212731 , 5
146 , ен , 5189907 , 6
332 , ни , 5157969 , 7
265 , ко , 5117773 , 8
400 , ра , 5048021 , 9
354 , ов , 4901938 , 10
328 , не , 4805426 , 11
414 , ро , 4714358 , 12
390 , пр , 4179260 , 13
13 , ал , 4122610 , 14
95 , го , 4087992 , 15
405 , ре , 3989734 , 16
370 , ос , 3966047 , 17
282 , ли , 3866502 , 18
253 , ка , 3753269 , 19
70 , во , 3679002 , 20
150 , ер , 3638393 , 21
462 , та , 3636025 , 22
371 , от , 3510602 , 23
57 , ва , 3485014 , 24
369 , ор , 3415027 , 25
364 , ол , 3375143 , 26
153 , ет , 3307969 , 27
467 , те , 3288502 , 28
365 , ом , 3209060 , 29
15 , ан , 3170297 , 30
142 , ел , 3106510 , 31
356 , од , 3090910 , 32
489 , ть , 3036424 , 33
273 , ла , 2960226 , 34
366 , он , 2942617 , 35
278 , ле , 2925023 , 36
287 , ло , 2912925 , 37
152 , ес , 2878245 , 38
20 , ат , 2864282 , 39
409 , ри , 2820329 , 40
297 , ль , 2819650 , 41
106 , де , 2799748 , 42
355 , ог , 2773312 , 43
62 , ве , 2745369 , 44
347 , ны , 2714057 , 45
470 , ти , 2688091 , 46
182 , за , 2670888 , 47
225 , ит , 2612768 , 48
441 , ск , 2586828 , 49
101 , да , 2555297 , 50
12 , ак , 2444401 , 51
362 , ой , 2431895 , 52
220 , ин , 2384696 , 53
304 , ме , 2346193 , 54
144 , ем , 2338387 , 55
218 , ил , 2335238 , 56
560 , че , 2268576 , 57
353 , об , 2221408 , 58
19 , ас , 2213300 , 59
115 , до , 2157311 , 60
310 , мо , 2122362 , 61
260 , ки , 2061205 , 62
477 , тр , 2017218 , 63
461 , ся , 2001670 , 64
134 , ед , 1935815 , 65
445 , со , 1915082 , 66
305 , ми , 1914722 , 67
334 , нн , 1897247 , 68
436 , се , 1889506 , 69
14 , ам , 1870040 , 70
224 , ис , 1862616 , 71
3 , ав , 1850439 , 72
168 , же , 1821313 , 73
9 , аз , 1810274 , 74
300 , ма , 1765557 , 75
219 , им , 1749666 , 76
464 , тв , 1717885 , 77
18 , ар , 1698166 , 78
65 , ви , 1687298 , 79
212 , ие , 1610394 , 80
419 , ру , 1583604 , 81
43 , бо , 1517618 , 82
442 , сл , 1503147 , 83
214 , из , 1494881 , 84
81 , вы , 1491179 , 85
110 , ди , 1488226 , 86
52 , бы , 1470406 , 87
235 , ия , 1447234 , 88
217 , ик , 1437934 , 89
133 , ег , 1408718 , 90
383 , пе , 1401258 , 91
209 , ив , 1340779 , 92
568 , чт , 1330584 , 93
